source_damage_sample,source_idle_sample
10,43.025
12,13.55
16,12.2
12,27.4
10,13.15
12,2.75
16,7.825
17,5.6
8,11.15
4,16.975
11,4.775
10,19.825
4,0.7
12,11.425
10,7.2
12,16.4
10,28.325
10,10.55
10,9.3
12,14.3
4,4.3
10,4.3
18,3.7
12,17.925
8,0.9
4,21.75
16,26.425
10,10.75
10,8.3
2,17.35
9,2.175
1,13.15
2,4.325
10,21.35
22,7.925
12,10.975
6,7.825
4,11.375
12,8.275
2,9.7
12,3.05
13,11.1
10,10.4
6,13.625
8,12.875
10,17.275
16,2.4
9,16.9
19,9.225
2,9.175
10,9.225
4,11.4
4,1.475
10,9.225
16,18.55
10,16.1
12,6.15
1,19.225
2,1.35
4,6.35
4,2.575
4,6.475
18,8.05
6,5.0
12,10.8
13,18.85
8,12.4
14,12.4
4,6.025
18,25.575
16,18.75
8,29.225
4,26.1
16,14.4
8,10.375
10,8.7
2,4.875
4,4.875
10,50.925
10,4.3
8,20.325
2,8.35
16,19.275
8,5.7
3,5.175
10,18.75
20,5.625
1,46.775
10,12.45
14,12.45
10,6.9
12,2.05
8,20.125
4,6.475
20,12.0
8,10.1
5,8.9
12,3.9
12,7.725
16,9.55
8,17.95
4,6.725
6,6.5
8,18.7
2,10.05
8,14.55
5,10.725
10,27.3
10,17.35
10,16.85
8,24.675
4,5.35
2,2.5
10,6.875
14,3.55
15,31.35
10,6.625
6,36.175
10,2.35
12,23.875
2,35.15
4,36.9
7,3.3
6,0.625
10,5.525
17,5.525
10,5.625
5,28.9
5,45.35
10,21.0
8,4.925
18,19.6
12,4.925
4,10.85
10,10.075
6,18.6
13,13.9
4,22.65
14,11.825
8,10.625
2,11.725
14,20.2
2,3.975
10,18.575
7,7.225
8,16.825
8,2.95
2,2.95
5,7.475
5,6.825
7,16.8
8,6.15
8,8.1
16,5.775
15,4.425
13,1.325
8,8.15
8,1.75
10,3.45
21,3.45
10,0.85
4,13.7
10,9.2
10,8.1
13,19.65
16,12.95
25,19.3
12,10.65
10,19.875
5,7.025
17,0.575
5,0.575
4,2.95
4,14.05
4,7.925
8,14.125
10,32.425
10,29.725
13,5.875
1,2.15
8,10.6
10,3.75
7,3.2
7,10.8
5,20.875
10,28.725
12,21.675
10,28.6
18,27.8
14,28.725
5,5.725
20,10.725
6,11.6
14,29.375
14,0.4
4,0.4
11,3.1
1,36.95
10,12.25
16,3.925
16,12.7
5,7.175
5,5.825
5,27.05
8,5.7
4,30.1
8,20.75
22,3.275
10,2.15
8,12.85
5,6.9
10,15.45
12,1.9
10,20.375
12,4.075
16,8.4
18,0.025
6,4.35
7,5.0
3,0.925
5,5.15
17,13.125
15,7.55
5,11.15
5,10.675
11,18.6
5,10.65
4,11.125
2,11.3
5,6.775
2,21.825
4,17.45
8,2.45
5,1.525
17,4.75
18,17.15
17,5.525
5,11.425
4,6.85
10,24.25
8,1.4
1,1.4
5,3.65
10,3.65
13,14.95
7,14.025
12,4.8
9,14.45
5,14.225
4,6.775
2,17.65
5,2.025
6,7.45
12,14.475
14,8.75
14,13.75
6,8.2
4,8.35
10,4.35
5,12.55
12,6.725
11,11.875
8,22.95
4,22.95
5,9.725
4,2.15
5,25.7
6,7.9
10,38.65
8,27.425
2,22.125
1,10.9
10,6.825
12,24.625
8,13.875
6,8.875
16,16.45
10,16.45
10,7.95
6,21.7
8,8.675
2,41.175
16,17.0
2,10.925
12,14.325
4,0.9
6,19.45
14,18.375
10,5.625
2,7.9
12,5.825
6,23.175
6,8.025
4,6.05
10,3.175
10,8.175
4,1.55
8,1.55
18,6.675
16,6.675
8,4.45
8,17.45
13,1.75
4,19.75
12,2.975
12,25.95
20,14.575
10,9.575
10,3.55
10,9.2
10,8.475
10,13.475
12,0.825
6,16.675
9,6.25
8,27.1
12,14.575
4,55.675
6,7.125
10,9.2
15,12.35
12,11.6
6,8.4
14,3.15
2,3.425
8,6.4
2,12.95
3,7.95
16,2.2
4,2.2
10,37.125
20,24.15
9,19.775
4,6.2
10,6.7
4,4.375
10,14.05
14,16.575
2,5.1
4,5.1
10,22.25
12,12.525
10,11.475
15,23.0
2,14.775
6,35.35
12,12.125
11,18.85
2,20.6
10,4.4
14,20.675
5,7.15
16,21.525
6,19.725
11,10.925
8,8.25
12,4.125
16,26.5
20,7.225
12,7.225
17,7.05
12,12.05
9,7.325
5,7.325
17,0.775
10,8.25
13,4.425
9,9.9
10,2.65
12,3.75
11,10.15
8,6.875
2,11.525
8,6.65
8,2.95
15,1.55
11,5.85
7,2.675
18,6.75
8,28.9
7,9.975
2,35.3
5,8.125
10,6.725
2,3.65
8,29.425
5,20.5
8,0.1
14,17.125
20,19.75
16,17.125
4,24.475
10,1.925
8,14.875
2,15.5
10,12.775
12,3.675
8,3.675
10,25.925
10,1.35
17,3.1
5,1.0
13,12.25
4,7.7
5,26.075
6,10.4
10,16.375
12,27.5
14,4.95
10,27.5
10,11.875
10,14.25
14,0.85
6,5.975
10,7.075
13,3.95
2,4.975
12,1.475
4,7.2
14,7.2
15,6.15
10,2.0
17,6.15
18,11.15
10,7.925
10,15.85
10,1.475
10,10.85
12,1.575
10,0.45
16,8.675
7,16.8
10,9.25
13,16.7
14,8.675
4,12.125
4,3.375
4,20.575
15,4.0
7,61.95
6,4.225
13,4.675
18,5.775
8,2.55
10,7.45
2,4.525
2,24.45
10,3.975
18,0.85
5,0.85
18,1.325
10,11.075
10,10.2
10,0.1
10,11.8
18,0.125
17,18.175
10,7.625
7,5.225
12,9.975
10,14.375
2,14.175
12,5.3
10,15.05
10,3.225
15,5.075
10,3.05
10,3.05
12,0.225
15,0.225
11,1.15
8,13.525
2,8.375
12,6.0
17,2.45
13,9.575
10,2.825
10,20.775
12,27.15
12,4.95
18,12.225
16,29.425
6,4.35
4,10.35
1,6.55
5,5.55
10,19.45
1,19.475
5,0.175
12,7.775
16,8.65
2,15.65
4,14.2
4,16.2
18,2.725
10,21.525
14,7.1
5,11.925
5,14.475
8,27.075
14,14.875
10,4.325
8,7.0
7,18.225
2,0.175
1,6.5
20,12.4
12,0.85
3,14.475
5,2.425
13,2.5
2,6.325
2,25.9
5,2.825
6,25.9
10,14.35
10,9.7
10,3.175
15,10.95
19,15.95
15,9.875
5,7.425
10,14.7
5,3.175
5,17.65
15,1.925
2,19.6
6,18.0
10,21.975
10,6.575
4,5.95
6,9.875
9,17.9
7,9.3
10,2.075
10,12.325
10,8.65
3,18.9
7,13.425
7,12.1
3,16.75
10,7.875
10,1.775
9,7.875
7,9.55
15,7.875
7,3.625
15,6.4
4,10.95
14,16.825
16,13.175
9,0.95
1,7.275
8,7.275
2,10.725
12,27.75
10,5.925
10,23.375
1,11.375
10,8.55
7,11.975
10,9.35
10,15.85
15,15.25
10,18.325
17,16.3
10,10.675
13,42.675
2,6.125
5,2.525
5,14.575
15,3.2
8,17.9
18,6.6
10,3.625
7,10.775
1,4.025
10,8.55
14,27.125
12,33.75
18,3.85
4,14.125
10,36.3
12,9.475
14,10.95
14,10.95
14,2.35
8,13.175
16,4.35
8,13.625
25,13.425
7,11.4
17,10.8
4,13.775
7,13.425
10,8.425
11,0.35
17,30.825
7,26.05
26,11.525
7,44.3
17,19.775
4,11.675
4,27.025
8,12.375
16,44.525
4,0.625
18,46.6
4,6.825
4,6.825
17,7.45
16,10.375
12,8.6
16,15.125
16,17.675
16,11.15
12,0.65
12,5.425
12,8.1
12,12.85
12,9.45
15,9.425
8,9.875
10,4.875
12,32.15
1,0.65
12,5.475
12,4.9
14,5.475
16,31.625
4,4.775
7,9.775
11,13.65
5,3.775
8,17.95
3,15.6
10,8.325
4,26.125
10,6.125
14,15.85
9,5.775
4,9.3
9,11.125
9,6.125
12,12.95
8,4.425
3,32.975
4,2.525
10,0.05
11,3.675
4,24.925
4,16.275
10,15.2
19,17.25
12,1.175
9,6.625
9,4.75
10,15.45
12,14.275
12,1.7
4,2.075
20,4.275
4,21.7
15,7.025
2,25.95
8,16.275
10,6.95
9,6.95
2,5.05
5,15.0
15,20.95
8,6.0
4,16.5
4,6.55
7,7.775
9,10.1
1,9.6
8,11.925
4,3.025
12,3.025
11,3.55
8,17.25
7,13.625
8,8.675
16,19.275
8,13.325
8,14.95
4,9.95
12,36.2
8,13.275
8,32.75
4,14.825
2,7.725
7,7.3
12,7.075
8,7.075
4,7.225
10,7.225
12,8.475
14,8.475
7,7.225
11,7.225
8,12.125
8,7.125
12,12.125
16,21.15
4,2.375
12,2.375
12,3.175
12,17.2
10,1.95
12,20.5
12,16.85
4,21.85
12,10.75
12,5.975
4,5.4
4,5.325
8,1.775
8,50.5
2,31.65
12,14.625
8,14.575
4,14.625
12,3.575
18,15.35
18,4.025
2,15.35
12,12.025
4,12.475
20,5.875
14,5.425
8,31.875
11,46.35
4,9.2
12,13.45
18,20.55
4,9.75
2,12.375
16,16.625
19,15.175
2,7.125
2,18.5
12,12.7
18,14.775
2,21.325
17,6.175
17,6.175
4,4.575
10,4.575
4,23.1
12,28.325
8,9.525
8,7.825
8,15.075
5,8.375
4,16.8
12,5.4
10,7.6
16,24.0
10,31.975
17,29.55
10,3.1
10,3.1
10,2.075
14,26.775
19,7.525
6,19.05
13,26.775
10,24.25
6,16.975
8,25.975
5,1.6
9,11.35
5,5.85
18,25.175
10,9.575
16,12.675
10,6.6
14,11.6
10,2.9
5,9.65
12,14.425
19,4.25
1,2.625
8,17.075
12,2.625
10,13.7
10,0.4
10,0.4
2,2.575
4,14.175
7,18.95
10,5.475
4,5.7
10,37.675
8,3.45
1,6.75
12,15.825
5,2.425
8,14.625
5,28.575
22,14.625
5,5.425
10,8.9
4,39.325
18,17.9
17,9.2
5,8.9
6,39.325
18,0.4
10,0.4
12,5.45
14,22.725
14,6.125
14,17.025
13,6.55
6,5.15
